iter	Passed	Remaining
437	1362	1748
438	1365	1745
439	1368	1741
440	1371	1738
441	1374	1734
442	1377	1731
443	1379	1727
444	1382	1724
445	1385	1720
446	1388	1717
447	1391	1714
448	1393	1710
449	1396	1706
450	1399	1703
451	1401	1699
452	1404	1696
453	1407	1692
454	1410	1689
455	1412	1685
456	1415	1682
457	1418	1679
458	1421	1675
459	1424	1671
460	1426	1668
461	1430	1665
462	1433	1662
463	1435	1658
464	1438	1654
465	1440	1651
466	1443	1647
467	1446	1643
468	1448	1640
469	1451	1636
470	1454	1633
471	1456	1629
472	1459	1626
473	1462	1623
474	1465	1619
475	1467	1615
476	1470	1612
477	1472	1608
478	1475	1604
479	1477	1600
480	1480	1597
481	1482	1593
482	1485	1590
483	1487	1586
484	1490	1582
485	1493	1579
486	1496	1576
487	1498	1572
488	1501	1568
489	1503	1564
490	1505	1561
491	1508	1557
492	1511	1554
493	1513	1550
494	1516	1546
495	1518	1543
496	1521	1539
497	1524	1536
498	1527	1533
499	1530	1530
500	1532	1526
501	1535	1523
502	1537	1519
503	1540	1515
504	1543	1512
505	1546	1509
506	1548	1506
507	1551	1502
508	1554	1499
509	1557	1496
510	1560	1493
511	1563	1489
512	1565	1486
513	1568	1482
514	1570	1479
515	1573	1475
516	1575	1472
517	1578	1468
518	1580	1465
519	1583	1461
520	1586	1458
521	1588	1454
522	1591	1451
523	1593	1447
524	1596	1444
525	1599	1441
526	1601	1437
527	1604	1434
528	1606	1430
529	1609	1427
530	1612	1424
531	1614	1420
532	1617	1417
533	1620	1413
534	1622	1410
535	1625	1407
536	1627	1403
537	1630	1400
538	1633	1396
539	1635	1393
540	1638	1389
541	1640	1386
542	1643	1383
543	1646	1380
544	1648	1376
545	1651	1373
546	1653	1369
547	1656	1366
548	1659	1362
549	1661	1359
550	1664	1356
551	1667	1353
552	1669	1349
553	1672	1346
554	1675	1343
555	1677	1339
556	1680	1336
557	1682	1333
558	1685	1329
559	1688	1326
560	1691	1323
561	1694	1320
562	1697	1317
563	1699	1314
564	1702	1311
565	1706	1308
566	1708	1305
567	1711	1301
568	1714	1298
569	1717	1295
570	1721	1293
571	1724	1290
572	1726	1286
573	1729	1283
574	1731	1279
575	1734	1276
576	1737	1273
577	1739	1270
578	1742	1267
579	1745	1263
580	1747	1260
581	1751	1257
582	1753	1254
583	1756	1251
584	1759	1247
585	1761	1244
586	1764	1241
587	1768	1238
588	1770	1235
589	1773	1232
590	1776	1229
591	1778	1225
592	1781	1222
593	1784	1219
594	1786	1216
595	1789	1213
