iter	RMSE
169	0.5390379367
170	0.5388866066
171	0.5387580037
172	0.5386759799
173	0.538620471
174	0.5384961587
175	0.5383598529
176	0.5382996
177	0.5382333643
178	0.5381415317
179	0.5380219339
180	0.5378489862
181	0.5377715252
182	0.5376524348
183	0.5375449224
184	0.5374991853
185	0.5374162484
186	0.537277489
187	0.5371835068
188	0.5371099653
189	0.5370455564
190	0.5369434268
191	0.5368340031
192	0.5367535011
193	0.5366662172
194	0.5365842751
195	0.5364790093
196	0.536384422
197	0.5362681222
198	0.5361608184
199	0.536064372
200	0.5359779279
201	0.5358291082
202	0.5357538934
203	0.5356300752
204	0.5354856994
205	0.535421305
206	0.5352789911
207	0.5352258328
208	0.5351372961
209	0.5349835152
210	0.5348849979
211	0.5347574025
212	0.5346483187
213	0.5345657514
214	0.5344931398
215	0.5343579037
216	0.5342637479
217	0.5341782007
218	0.5340609873
219	0.5339415689
220	0.5338571266
221	0.5337586001
222	0.5336625804
223	0.5335784203
224	0.5334042578
225	0.5333251898
226	0.5332172108
227	0.5330896417
228	0.5329473546
229	0.5328174228
230	0.5327097483
231	0.5325848592
232	0.5323912643
233	0.5322666473
234	0.5321213626
235	0.5320291242
236	0.5319277963
237	0.5318483448
238	0.5317829501
239	0.5316697852
240	0.5315609823
241	0.5314761995
242	0.5313471123
243	0.5312698421
244	0.5311072996
245	0.5310079846
246	0.5308975613
247	0.5308205169
248	0.5307732947
249	0.5306812162
250	0.530572864
251	0.5304554472
252	0.5303296557
253	0.5302243685
254	0.5301134443
255	0.5299981638
256	0.5299110584
257	0.5298276901
258	0.5297247889
259	0.5296262204
260	0.5294770796
261	0.5294023267
262	0.5293453477
263	0.5292134986
264	0.5290759609
265	0.5289586113
266	0.5288772738
267	0.5287914671
268	0.5286711506
269	0.5285947355
270	0.5285354472
271	0.5284923257
272	0.528432678
273	0.5283053173
274	0.5281870756
275	0.5280987715
276	0.5280249183
277	0.5279291622
278	0.5278155516
279	0.5277726244
280	0.5276526704
281	0.5275343695
282	0.5274337649
283	0.5273080082
284	0.5272255165
285	0.5271771329
286	0.5271067539
287	0.5270317144
288	0.5269363253
289	0.5268376579
290	0.526730886
291	0.5265955651
292	0.5264792282
293	0.5263910713
294	0.5263504558
295	0.5262351142
296	0.5261360093
297	0.5260247044
298	0.5258706171
299	0.5257576477
300	0.5255999631
301	0.525482043
302	0.5253686525
303	0.5252950499
304	0.5251535813
305	0.5250779312
306	0.5249703905
307	0.5248847842
308	0.5247974961
309	0.5246582204
310	0.5245451915
311	0.5244419175
312	0.5243590025
313	0.524239836
314	0.5241322267
315	0.5240418627
316	0.5239914234
317	0.5238353009
318	0.5237654736
319	0.5236451674
320	0.5235874642
321	0.5234959357
322	0.5233385084
323	0.523215919
324	0.5231093561
325	0.5230593536
326	0.5229423234
327	0.5228608475
328	0.5227571336
329	0.5226488522
330	0.5225857564
331	0.5225124672
332	0.5223765325
333	0.5223062093
334	0.5222292419
335	0.522097926
336	0.5219574302
337	0.5218442672
338	0.5217663151
339	0.5216495153
340	0.5215574841
341	0.5215214772
342	0.5214173488
343	0.5213814468
344	0.5212611707
345	0.5211214204
346	0.5210303468
347	0.5209134702
348	0.5208122252
349	0.5207397014
350	0.5207026763
351	0.5205923777
352	0.5205171135
353	0.5204135862
354	0.5202828166
355	0.5202242995
356	0.5201710364
357	0.520100356
358	0.5200198372
359	0.519957947
360	0.5198345603
361	0.5196512118
362	0.5195635193
363	0.5194843871
364	0.5193855057
365	0.5192754396
366	0.5191804419
367	0.5190682932
368	0.5189551585
369	0.518847098
370	0.5187166355
371	0.518642645
372	0.5185962845
373	0.5184846196
374	0.5183577229
375	0.5182579328
376	0.5181583988
377	0.5180656388
378	0.51795344
379	0.5178826429
380	0.5177544106
381	0.5176947386
382	0.5175971026
383	0.5175278874
384	0.5174102974
385	0.5173366222
386	0.5172302089
387	0.5171822393
388	0.5171194493
389	0.5170654867
390	0.5169445244
391	0.5168350744
392	0.5167393408
393	0.5166359022
394	0.5165271622
395	0.5164615834
396	0.5164123078
397	0.5163547615
398	0.5162651669
399	0.5162283415
400	0.5161499674
401	0.5160690984
402	0.5159274708
403	0.5158696503
404	0.5158130856
405	0.5157079359
406	0.5155812422
407	0.5155030809
408	0.5153913577
409	0.5153004458
410	0.5152279334
411	0.5151414297
412	0.5150564335
413	0.5150192021
414	0.514904449
415	0.5148301666
416	0.5147813331
417	0.5147238019
418	0.5146227581
419	0.5145534568
420	0.5144869207
421	0.5143599526
422	0.5142704801
423	0.5142300346
424	0.5141290675
425	0.5140436116
426	0.5139484095
427	0.5138888521
428	0.5137687714
429	0.5136627954
430	0.5136153435
431	0.5135231494
432	0.5134600987
433	0.5133728991
434	0.5132672562
435	0.5132136681
436	0.5131757537
437	0.5131119371
438	0.513059514
439	0.5129838658
440	0.5129068722
441	0.5127867848
442	0.5127149268
443	0.5126302462
444	0.5125187231
445	0.512373758
446	0.5122493441
447	0.5121207493
448	0.5120763966
449	0.5119840143
450	0.5119149775
451	0.5118438721
452	0.5117723019
453	0.5116810783
454	0.511630725
455	0.5115629918
456	0.5114504546
457	0.5114013791
458	0.5112817547
459	0.5111992473
460	0.5110526866
461	0.5109013351
462	0.5108258062
463	0.5107579467
464	0.5107021992
465	0.5106158803
466	0.5105389634
467	0.5104707028
468	0.5104141648
469	0.5103082881
470	0.5102685532
471	0.5101964576
472	0.5100787775
473	0.5099938264
474	0.5098546368
475	0.5097940312
476	0.5097043212
477	0.5096316632
478	0.5095628451
479	0.509497174
480	0.5094443394
481	0.5093455641
482	0.5092067172
483	0.5091553767
484	0.5090799125
485	0.5089862363
486	0.5088645482
487	0.5087674083
488	0.5086663527
489	0.5085567546
490	0.5084357732
491	0.5083454732
492	0.5082844234
493	0.5082263805
494	0.5081543756
495	0.5080972273
496	0.5080031785
497	0.5078555988
498	0.5077391916
499	0.5076749018
500	0.5076245442
501	0.5075626259
502	0.5074599092
503	0.5073670519
504	0.5072962619
505	0.5072224043
506	0.5071720868
507	0.5070859167
508	0.5070076938
509	0.5069282283
510	0.5068333907
511	0.5067866359
512	0.5067465232
513	0.5066487488
514	0.5065755395
515	0.5064909408
516	0.5064228606
517	0.5063752862
518	0.5062456637
519	0.5061641352
520	0.5060805697
521	0.5059825082
522	0.5059020585
523	0.5057859434
524	0.5057056367
525	0.5056200924
526	0.5055566099
527	0.5054893379
528	0.5054352228
529	0.5053700099
530	0.5052983772
531	0.5052077897
532	0.5051053715
533	0.5050287406
534	0.5049798545
535	0.5048983596
536	0.5048078769
537	0.5047666225
538	0.5047090917
539	0.5045631272
540	0.5044573258
541	0.5043723481
542	0.5042980393
543	0.5042688955
544	0.5042025527
545	0.5041274955
546	0.5040447837
547	0.5039654043
548	0.5038856528
549	0.5038017925
550	0.5036922611
551	0.5035872297
552	0.5035415638
553	0.5034926555
554	0.5034238354
555	0.5033528065
556	0.5033281651
557	0.5032441928
558	0.5031252315
559	0.5030554305
560	0.5029799148
561	0.5029280564
562	0.5028872171
563	0.5028220907
564	0.5027121375
565	0.5025997802
566	0.5025288292
567	0.5024427209
568	0.5023491204
569	0.5022715904
570	0.5022076567
571	0.5021490495
572	0.5020237644
573	0.5019008359
574	0.5018363636
575	0.5017838554
576	0.5017558764
577	0.5017129322
578	0.5016495568
579	0.5015683965
580	0.5014838706
581	0.501398711
582	0.5013618025
583	0.5013338129
584	0.5012495265
585	0.5012059991
586	0.5011759688
587	0.5011007679
588	0.5010440831
589	0.5010116509
590	0.5009336014
591	0.5008729239
592	0.5007990821
593	0.50073368
594	0.5006457399
595	0.500599549
596	0.5005362861
597	0.5004917632
598	0.5004145019
599	0.5003722607
600	0.5003138692
601	0.5002729264
602	0.5001976612
603	0.500152573
604	0.5000700685
605	0.4999437854
606	0.4998675547
607	0.4998097542
608	0.499721346
609	0.4996660814
610	0.4995403337
611	0.4993945076
612	0.4993422314
613	0.4993040827
614	0.4992229155
615	0.4991321039
616	0.4990416011
617	0.4989537925
618	0.4988641791
619	0.4987953331
620	0.4987599132
621	0.4986855314
622	0.498614343
623	0.4985240415
624	0.4984980424
625	0.4984447694
626	0.4984227275
627	0.498351392
628	0.4982325602
629	0.4981310895
630	0.498072463
631	0.497963789
632	0.4978785097
633	0.4978052691
634	0.4977572066
635	0.4977062105
636	0.4976312222
637	0.4975784131
638	0.4974794146
639	0.4973959141
640	0.4973125662
641	0.4972456512
642	0.4971793482
643	0.4971226384
644	0.4970924011
645	0.4970430669
646	0.4970124347
647	0.4969449896
648	0.4968447056
649	0.4967764141
650	0.496737129
651	0.4966324621
652	0.4965781285
653	0.4964746647
654	0.4964187535
655	0.496359251
656	0.4962851332
657	0.4962262934
658	0.4961157097
659	0.4960269201
660	0.495958568
661	0.4958986768
662	0.4958375031
663	0.4957861565
664	0.4957089472
665	0.4956720999
666	0.4955863604
667	0.4955230886
668	0.4954648299
669	0.4954039985
670	0.4953630791
671	0.4952939722
672	0.495220217
673	0.4951739498
674	0.4951032274
675	0.4950136408
676	0.4949817719
677	0.494912671
678	0.4948344155
679	0.4947865134
680	0.4947073922
681	0.4946104937
682	0.4945426049
683	0.4944767544
684	0.4944200846
685	0.4943683001
686	0.4943138901
687	0.4942576108
688	0.4941837539
689	0.4941022943
690	0.4940095181
691	0.4939351481
692	0.493878372
693	0.4938053039
694	0.4937295614
695	0.4936794173
696	0.4935573243
697	0.4934492531
698	0.4933922445
699	0.4933542379
700	0.4932579383
701	0.4932078485
702	0.4931708106
703	0.4931296398
704	0.4930553332
705	0.492966163
706	0.4929196028
707	0.4928657991
708	0.4927649384
709	0.4926826336
710	0.4926458874
711	0.4925272523
712	0.4924977904
713	0.4924357273
714	0.4923505756
715	0.4923105159
716	0.4922162012
717	0.4921470862
718	0.4920787183
719	0.4919890463
720	0.4918945004
721	0.4918189549
722	0.4917392745
723	0.4916594848
724	0.4916022876
725	0.4915029286
726	0.4914288343
727	0.4913373458
728	0.4912337726
729	0.4911934971
730	0.491084861
731	0.4910120309
732	0.4908852566
733	0.4908387485
734	0.4907890003
735	0.4907144044
736	0.4906863728
737	0.4906308423
738	0.4905483431
739	0.4905009386
740	0.4904295636
741	0.4903525249
742	0.4902653118
743	0.4901450202
744	0.4900666885
745	0.4900228435
746	0.4899699733
747	0.4898873043
748	0.489843009
749	0.4897964823
750	0.4897332498
751	0.4896423662
752	0.4895944527
753	0.4895476559
754	0.489494727
755	0.489469309
756	0.48942626
757	0.4893527271
758	0.4892734286
759	0.4892335396
760	0.4891189454
761	0.4890417433
762	0.4889781122
763	0.4889445882
764	0.4888556744
765	0.4888041784
766	0.4887314359
767	0.4886934888
768	0.4886522278
769	0.4885857263
770	0.4885433947
771	0.4884593572
772	0.4883910714
773	0.4883366099
774	0.4882401239
775	0.4881398042
776	0.4881037662
777	0.4880253491
778	0.4879400985
779	0.4878650693
780	0.4878101248
781	0.4877758316
782	0.4877078468
783	0.4876381279
784	0.4875781843
785	0.487509494
786	0.4873954097
787	0.4873260807
788	0.4872171855
789	0.4871625972
790	0.4871031491
791	0.4869892638
792	0.4869358294
793	0.4869015262
794	0.4868391268
795	0.4867163123
796	0.4866618478
797	0.4866119798
798	0.4865338534
799	0.4864541664
800	0.4863532088
801	0.4862686236
802	0.4862022082
803	0.4861310461
804	0.4860751342
805	0.4859845877
806	0.4858624109
807	0.4858207791
808	0.4857468982
809	0.4856731476
810	0.4856309518
811	0.485581863
812	0.4855477541
813	0.4854557883
814	0.4853967986
815	0.4853362886
816	0.485264042
817	0.4851611749
818	0.4851170319
819	0.4850443808
820	0.4849599689
821	0.4848921826
822	0.4848092387
823	0.4847674271
824	0.4846842057
825	0.4846151226
826	0.4845281832
827	0.4844444329
828	0.484410393
829	0.4843581534
830	0.4842693512
831	0.4842191847
832	0.4841293706
833	0.4840376027
834	0.4839545117
835	0.4839004238
836	0.4838405982
837	0.4837683736
838	0.4837106659
839	0.4836505004
840	0.4835979376
841	0.4835466881
842	0.4834403529
843	0.48335745
844	0.4832966106
845	0.4832209424
846	0.4831616725
847	0.4830985927
848	0.4830561686
849	0.48298445
850	0.4828824394
851	0.4827814382
852	0.4827194002
853	0.4826699836
854	0.482607728
855	0.4825413621
856	0.4824961096
857	0.4824107699
858	0.4823397367
859	0.4822825591
860	0.4822591375
861	0.4822250223
862	0.4821579836
863	0.4821226425
864	0.4820311684
865	0.4819778463
866	0.4819166496
867	0.481856733
868	0.4818040627
869	0.4817291831
870	0.4816069052
871	0.4815485781
872	0.4814230149
873	0.4813529132
874	0.4812617717
875	0.4812167438
876	0.4811612551
877	0.4810769381
878	0.4810199263
879	0.4809186934
880	0.4808781454
881	0.4807547092
882	0.4807098927
883	0.4806469426
884	0.4805868325
885	0.480481944
886	0.48041996
887	0.4803554911
888	0.4802373109
889	0.4801765274
890	0.4801075674
891	0.4800715443
892	0.4799931866
893	0.4799124847
894	0.4798737802
895	0.4797869133
896	0.4796987408
897	0.4796458976
898	0.4796090299
899	0.4795233452
900	0.479479113
901	0.4794228467
902	0.4793176987
903	0.4792675435
904	0.479230453
905	0.4791758044
906	0.4791230139
907	0.4790183565
908	0.4789555867
909	0.4788866927
910	0.4788374196
911	0.4787476156
912	0.478690851
913	0.478609233
914	0.4785350896
915	0.4784927113
916	0.4783934466
917	0.4783614807
918	0.4782837319
919	0.4782331591
920	0.4781783186
921	0.4781169692
922	0.4780830846
923	0.4780453843
924	0.477978522
925	0.4779220846
926	0.4778807433
927	0.4778258054
928	0.4777883114
929	0.4777084343
930	0.477635447
931	0.4775288404
932	0.4774735518
933	0.4774322619
934	0.4773420418
935	0.4772759404
936	0.4772337288
937	0.4771461419
938	0.4770910861
939	0.4770296874
940	0.4769762601
941	0.4769057846
942	0.4768485674
943	0.4767951296
944	0.4767437432
945	0.4766681655
946	0.4766128352
947	0.4765356665
948	0.476479034
949	0.4764130884
950	0.4763349847
951	0.4762941688
952	0.4762097878
953	0.4761502416
954	0.4760812678
955	0.4760457291
956	0.4759928414
957	0.4759107404
958	0.4758632817
959	0.4757709419
960	0.4756960004
961	0.4756322035
962	0.4755910344
963	0.4755220308
964	0.4754555864
965	0.475352051
966	0.4752914954
967	0.4752384672
968	0.4751862976
969	0.4751293602
970	0.4750863625
971	0.4750106255
972	0.4749849614
973	0.4748977426
974	0.4748438596
975	0.4748035017
976	0.4747554122
977	0.4746056766
978	0.4745619051
979	0.4745074411
980	0.474489603
981	0.4744552887
982	0.4744337637
983	0.4743567
984	0.474295502
985	0.4742056529
986	0.4741838902
987	0.4740917123
988	0.4740428662
989	0.4740136314
990	0.4739371742
991	0.4738905711
992	0.4738387229
993	0.4737391986
994	0.473651049
995	0.4736125509
996	0.4735652077
997	0.473498721
998	0.4734356289
999	0.4734030777
